Result Time,Granularity Period,Object Name,Reliability,U_RRC_SETUP_SUCCESS_RATIO_DEN_NONE,U_RRC_SETUP_SUCCESS_RATIO_NUM_NONE
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427I, CellID=44279",Reliable,873,790
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427H, CellID=44278",Reliable,154,149
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427D, CellID=44274",Reliable,931,867
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427C, CellID=44273",Reliable,1002,908
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427B, CellID=44272",Reliable,187,171
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427A, CellID=44271",Reliable,1295,1193
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427G, CellID=44277",Reliable,592,539
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427F, CellID=44276",Reliable,760,680
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427E, CellID=44275",Reliable,91,89
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4565D, CellID=45654",Reliable,6,5
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033F, CellID=40336",Reliable,125,115
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033E, CellID=40335",Reliable,168,164
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033D, CellID=40334",Reliable,259,251
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033C, CellID=40333",Reliable,207,197
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033B, CellID=40332",Reliable,157,147
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033A, CellID=40331",Reliable,299,286
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511I, CellID=35119",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511H, CellID=35118",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511G, CellID=35117",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511F, CellID=35116",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511E, CellID=35115",Reliable,226,200
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511D, CellID=35114",Reliable,253,240
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689I, CellID=38699",Reliable,965,933
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689H, CellID=38698",Reliable,482,464
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689G, CellID=38697",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689F, CellID=38696",Reliable,611,590
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689E, CellID=38695",Reliable,175,170
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689D, CellID=38694",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689C, CellID=38693",Reliable,971,932
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689B, CellID=38692",Reliable,432,415
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689A, CellID=38691",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511C, CellID=35113",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511B, CellID=35112",Reliable,165,155
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511A, CellID=35111",Reliable,147,138
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3524F, CellID=35246",Reliable,590,556
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3524E, CellID=35245",Reliable,335,327
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3524D, CellID=35244",Reliable,681,659
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3524C, CellID=35243",Reliable,703,659
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3524B, CellID=35242",Reliable,218,213
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3524A, CellID=35241",Reliable,611,593
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4565I, CellID=45659",Reliable,68,66
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4565H, CellID=45658",Reliable,106,102
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4565G, CellID=45657",Reliable,18,18
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4565F, CellID=45656",Reliable,87,87
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4565E, CellID=45655",Reliable,125,123
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3093I, CellID=30939",Reliable,1175,1097
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3093H, CellID=30938",Reliable,1465,1403
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3093G, CellID=30937",Reliable,1650,1569
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3989I, CellID=39899",Reliable,1535,1452
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3989H, CellID=39898",Reliable,1280,1225
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3989G, CellID=39897",Reliable,1092,1020
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4025I, CellID=40259",Reliable,604,585
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4025H, CellID=40258",Reliable,404,387
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4025G, CellID=40257",Reliable,545,529
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4025F, CellID=40256",Reliable,1007,963
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4025E, CellID=40255",Reliable,369,354
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4025D, CellID=40254",Reliable,570,545
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3597I, CellID=35979",Reliable,1710,1598
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3597H, CellID=35978",Reliable,309,293
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3597G, CellID=35977",Reliable,267,249
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3597F, CellID=35976",Reliable,1526,1405
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3597E, CellID=35975",Reliable,376,352
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3597D, CellID=35974",Reliable,166,151
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3659I, CellID=36599",Reliable,1089,1058
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3659H, CellID=36598",Reliable,488,462
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3659G, CellID=36597",Reliable,424,401
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3601I, CellID=36019",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3601H, CellID=36018",Reliable,1761,1693
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3601G, CellID=36017",Reliable,3486,3240
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3601F, CellID=36016",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3601E, CellID=36015",Reliable,1602,1531
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3601D, CellID=36014",Reliable,3372,3146
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4117I, CellID=41179",Reliable,586,578
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4117H, CellID=41178",Reliable,1855,1816
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4117G, CellID=41177",Reliable,1133,1109
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4117F, CellID=41176",Reliable,570,554
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4117E, CellID=41175",Reliable,1436,1395
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4117D, CellID=41174",Reliable,1004,974
