Result Time,Granularity Period,Object Name,Reliability,"67183986","67183990","67183993","67183994","67183995","67183996","67183997","67183998","67183999","67184000","67184001","67184002","67184003","67184004","67184005","67184006","67184007","67184008","67184009","67184010","67184011","67184012","67184014","67184015","67184016","67184017","67184018","67184019","67184020","67184021","67184022","67184023","67184024","67184025","67184026","67184027","67184028","67184029","67184030","67184031","67184032","67189903","67189905","67192689","67192690","67202812","67202816","67202819","67202820","67202821","67202822","67202823","67202824","67202825","67202826","67202827","67202828","67202829","67202830","67202831","67202832","67202833","67202834","67202835","67202836","67202837","67202838","67202840","67202841","67202842","67202843","67202844","67202845","67202846","67202847","67202848","67202849","67202850","67202851","67202852","67202853","67202854","67202855","67202856","67202857","67202858","67202859","67202860","67203449","67203450","67203451","67203452","67203453","67203454","67203455","67203456","67203457","67203458","67203459","67203460","67204482","67204483","73393908","73393910"
,Minutes,,,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,None,None,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit/s,kbit/s,bit,bit
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427I, CellID=44279",Reliable,0,0,0,0,0,0,0,0,0,0,5865280,337920,52160,195520,114005760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262720,40019520,905600,60800,0,0,0,5552640,0,0,0,6379840,9459384,1.45,0,,,,,,,,,,,3.138,8.084,16.718,34.914,20.73,,,,,,,,,,,,,,,,3.567,8.972,19.751,23.385,,,,27.461,,,,1.641,2.252,11635.209,14610.08,0,0,40769.063,6005.938,59.375,190.938,0,110403.75,5422.5,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427H, CellID=44278",Reliable,0,0,0,0,0,0,0,0,0,0,1757440,0,86720,0,18567680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288640,4874560,200320,0,0,0,0,0,0,0,0,1540376,2057176,0.45,0,,,,,,,,,,,4.302,,14.124,,17.412,,,,,,,,,,,,,,,,3.73,7.91,20.91,,,,,,,,,1.759,2.116,4974.478,6250.74,0,0,4948.75,1635.313,0,0,0,15802.813,0,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427D, CellID=44274",Reliable,0,0,0,0,0,0,0,0,0,0,5335680,0,0,565440,54103040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2067520,11279520,2348800,0,0,0,0,0,0,0,0,4265224,8080776,2.067,0,,,,,,,,,,,4.938,,,28.908,28.98,,,,,,,,,,,,,,,,3.58,7.778,18.974,,,,,,,,,1.639,2.387,19036.154,23359.884,0,0,14549.219,5147.188,0,552.188,0,50172.813,0,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427C, CellID=44273",Reliable,0,0,0,0,0,0,0,0,0,0,5358400,133440,10240,197440,72140480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2035200,27911360,1925760,0,0,0,0,0,0,0,0,5776144,9795608,1.733,0,,,,,,,,,,,5.584,12.333,8.533,37.969,21.178,,,,,,,,,,,,,,,,3.582,9.069,18.664,,,,,,,,,1.625,2.359,16413.752,17063.68,0,0,30507.5,5260,0,192.813,0,69069.063,0,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427B, CellID=44272",Reliable,0,0,0,0,0,0,0,0,0,0,1132800,0,0,0,18028480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453760,5129280,493440,0,0,0,0,0,0,0,0,1357792,2031632,0.15,0,,,,,,,,,,,6.036,,,,19.216,,,,,,,,,,,,,,,,3.736,8.43,15.415,,,,,,,,,1.74,2.218,2091.52,2032.079,0,0,3841.25,1010.625,0,0,0,15025,0,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427A, CellID=44271",Reliable,0,0,0,0,0,0,0,0,0,0,6358720,0,146880,589440,51053440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3151040,20933440,5708480,0,0,0,0,0,0,0,0,5325128,9736008,1.617,0,,,,,,,,,,,5.456,,13.232,25.65,29.623,,,,,,,,,,,,,,,,3.572,8.805,18.898,,,,,,,,,1.655,2.413,10916.675,12781.229,0,0,27953.125,6235.938,0,575.625,0,47030.313,0,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427G, CellID=44277",Reliable,0,0,0,0,0,0,0,0,0,0,4141120,0,55680,180800,61035840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689600,15523840,626880,0,0,0,0,0,0,0,0,3972488,6407880,2.1,0,,,,,,,,,,,4.801,,0.774,21.023,21.069,,,,,,,,,,,,,,,,3.61,8.235,17.693,,,,,,,,,1.654,2.278,15663.565,23116.652,0,0,16381.875,3922.188,0,176.563,0,55991.875,0,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427F, CellID=44276",Reliable,0,0,0,0,0,0,0,0,0,0,4625280,0,141440,103360,82457920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429120,28875200,1148160,498880,0,0,0,28935360,0,0,0,5093288,7475696,1.867,0,,,,,,,,,,,3.825,,16.719,7.83,21.421,,,,,,,,,,,,,,,,3.605,8.417,18.274,25.689,,,,39.686,,,,1.617,2.293,12456.411,17757.486,0,0,30309.063,4579.375,487.188,100.938,0,79394.063,28257.188,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427E, CellID=44275",Reliable,0,0,0,0,0,0,0,0,0,0,1170560,0,0,0,21210560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336640,5192320,168320,0,0,0,0,0,0,0,0,1066568,1644376,0.933,0,,,,,,,,,,,3.936,,,,21.955,,,,,,,,,,,,,,,,3.755,7.96,14.277,,,,,,,,,1.61,2.181,7594.356,14667.725,0,0,5205.938,1118.125,0,0,0,19694.063,0,0,,,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4565D, CellID=45654",Reliable,0,0,0,0,0,0,0,0,0,0,50240,0,0,0,201920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44800,44480,18240,0,0,0,0,0,0,0,0,118336,193496,0.067,0,,,,,,,,,,,8.196,,,,75.343,,,,,,,,,,,,,,,,4.436,14.442,11.122,,,,,,,,,1.671,2.177,519.284,980.353,0,0,60.313,40.313,0,0,0,0,0,0,,,0,0
