Result Time,Granularity Period,Object Name,Reliability,67202894,67189840,73410491,73403763,67202932
,Minutes,,,kbit/s,byte,None,None,None
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427I, CellID=44279",Reliable,112.348,214007560,0,32,21.042
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427H, CellID=44278",Reliable,188.879,59033111,0,9,4.403
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427D, CellID=44274",Reliable,177.271,334856098,0,51,28.614
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427C, CellID=44273",Reliable,106.912,293090858,0,53,32.803
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427B, CellID=44272",Reliable,201.318,88831853,0,10,5.239
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427A, CellID=44271",Reliable,149.926,549314952,0,64,41.447
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427G, CellID=44277",Reliable,280.429,423015160,0,33,18.472
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427F, CellID=44276",Reliable,155.836,204912773,0,38,17.342
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427E, CellID=44275",Reliable,141.648,51168952,0,10,4.436
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4565D, CellID=45654",Reliable,575.647,58097202,1.342,4,1.342
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033F, CellID=40336",Reliable,1185.66,262911320,0,11,5.203
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033E, CellID=40335",Reliable,1179.796,283121440,0,13,5.092
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033D, CellID=40334",Reliable,527.444,955007040,0,33,21.911
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033C, CellID=40333",Reliable,1454.449,421999320,0,18,7.961
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033B, CellID=40332",Reliable,948.669,175139680,0,11,4.589
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033A, CellID=40331",Reliable,510.824,1031391840,0,35,23.683
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511I, CellID=35119",Reliable,,0,0,0,0
