Result Time,Granularity Period,Object Name,Reliability,73410510,73410511
,Minutes,,,None,None
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427I, CellID=44279",Reliable,30.861,6.725
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427H, CellID=44278",Reliable,6.381,1.908
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427D, CellID=44274",Reliable,32.353,20.433
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427C, CellID=44273",Reliable,39.789,17.283
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427B, CellID=44272",Reliable,7.008,2.894
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427A, CellID=44271",Reliable,46.331,27.147
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427G, CellID=44277",Reliable,23.847,6.875
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427F, CellID=44276",Reliable,24.692,8.556
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427E, CellID=44275",Reliable,5.761,2.017
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4565D, CellID=45654",Reliable,1.475,0.136
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033F, CellID=40336",Reliable,6.4,2.95
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033E, CellID=40335",Reliable,5.994,3.153
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033D, CellID=40334",Reliable,22.661,10.869
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033C, CellID=40333",Reliable,9.211,5.469
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033B, CellID=40332",Reliable,5.192,2.244
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4033A, CellID=40331",Reliable,24.581,12.244
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511I, CellID=35119",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511H, CellID=35118",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511G, CellID=35117",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511F, CellID=35116",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511E, CellID=35115",Reliable,7.561,2.778
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3511D, CellID=35114",Reliable,9.15,3.633
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689I, CellID=38699",Reliable,34.283,20.942
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689H, CellID=38698",Reliable,13.031,5.075
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689G, CellID=38697",Reliable,0,0
2023-03-20 08:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT3689F, CellID=38696",Reliable,24.161,12.928
