CELLID,DIA,HORA
30011,07/02/2023,14:30
30012,07/02/2023,14:30
30013,07/02/2023,14:30
30014,07/02/2023,14:30
30015,07/02/2023,14:30
30016,07/02/2023,14:30
30017,07/02/2023,14:30
30018,07/02/2023,14:30
30019,07/02/2023,14:30
30021,07/02/2023,14:30
30022,07/02/2023,14:30
30023,07/02/2023,14:30
30024,07/02/2023,14:30
30025,07/02/2023,14:30
30026,07/02/2023,14:30
30027,07/02/2023,14:30
30028,07/02/2023,14:30
30029,07/02/2023,14:30
30031,07/02/2023,14:30
30032,07/02/2023,14:30
30033,07/02/2023,14:30
30034,07/02/2023,14:30
30035,07/02/2023,14:30
30036,07/02/2023,14:30
30037,07/02/2023,14:30
30038,07/02/2023,14:30
30039,07/02/2023,14:30
30051,07/02/2023,14:30
30052,07/02/2023,14:30
30053,07/02/2023,14:30
30054,07/02/2023,14:30
30055,07/02/2023,14:30
30056,07/02/2023,14:30
30057,07/02/2023,14:30
30058,07/02/2023,14:30
30059,07/02/2023,14:30
30091,07/02/2023,14:30
30092,07/02/2023,14:30
30093,07/02/2023,14:30
30094,07/02/2023,14:30
30095,07/02/2023,14:30
30096,07/02/2023,14:30
30097,07/02/2023,14:30
30098,07/02/2023,14:30
30099,07/02/2023,14:30
30101,07/02/2023,14:30
30102,07/02/2023,14:30
30103,07/02/2023,14:30
30104,07/02/2023,14:30
30105,07/02/2023,14:30
30106,07/02/2023,14:30
30107,07/02/2023,14:30
30108,07/02/2023,14:30
30109,07/02/2023,14:30
30121,07/02/2023,14:30
30122,07/02/2023,14:30
30123,07/02/2023,14:30
30124,07/02/2023,14:30
30125,07/02/2023,14:30
30126,07/02/2023,14:30
30127,07/02/2023,14:30
30128,07/02/2023,14:30
30129,07/02/2023,14:30
30141,07/02/2023,14:30
30142,07/02/2023,14:30
30143,07/02/2023,14:30
30144,07/02/2023,14:30
30145,07/02/2023,14:30
30146,07/02/2023,14:30
30147,07/02/2023,14:30
30148,07/02/2023,14:30
30149,07/02/2023,14:30
30151,07/02/2023,14:30
30152,07/02/2023,14:30
30153,07/02/2023,14:30
30154,07/02/2023,14:30
30155,07/02/2023,14:30
30156,07/02/2023,14:30
30157,07/02/2023,14:30
30158,07/02/2023,14:30
30159,07/02/2023,14:30
30161,07/02/2023,14:30
30162,07/02/2023,14:30
30163,07/02/2023,14:30
