CELLID,U_RRC_SETUP_SUCCESS_RATIO_DEN_NONE,U_RRC_SETUP_SUCCESS_RATIO_NUM_NONE,U_CS_RAB_SETUP_SUCCESS_RATIO_CELL_DEN_NUMBER,U_CS_RAB_SETUP_SUCCESS_RATIO_CELL_NUM_NUMBER,U_PS_RAB_SETUP_SUCCESS_RATIOD_DEN_NUMBER,U_PS_RAB_SETUP_SUCCESS_RATIO_NUM_NUMBER,U_VS_HSDPA_MEANCHTHROUGHPUT_KBPS,U_VS_HSDPA_MEANCHTHROUGHPUT_TOTALBYTES_MB,U_VS_HSDPA_64QAM_UE_MEAN_CELL_NONE,U_VS_HSDPA_UE_MAX_CELL_NONE,U_VS_HSDPA_UE_MEAN_CELL_NONE,U_VS_HSUPA_MEANCHTHROUGHPUT_KBPS,U_VS_HSUPA_MEANCHTHROUGHPUT_TOTALBYTES_MB,U_VS_HSUPA_16QAM_UE_MEAN_CELL_NONE,U_VS_HSUPA_UE_MAX_CELL_NONE,U_VS_HSUPA_UE_MEAN_CELL_NONE,U_VS_HSUPA_UE_MEAN_TTI2MS,U_TRAFICO_CS_ERLANG_ERL,U_CS_RAB_CONGESTION_RATIO_NUM_NONE,U_CS_RAB_CONGESTION_RATIO_DEN_NONE,U_RRC_CONGESTION_RATIONUM_NUMBER,U_RRC_CONGESTION_RATIODEN_NUMBER,U_PS_RAB_CONGESTION_RATIO_DEN_NONE,U_PS_RAB_CONGESTION_RATIO_NUM_NONE,U_VS_CELL_UNAVAILTIME_SYS_S,IA_CS_UMTS_OPT_RF_NUM,IA_CS_UMTS_OPT_RF_DEN,IA_PS_UMTS_OPT_RF_DEN,IA_PS_UMTS_OPT_RF_NUM,G_CS_SERVICE_DROP_RATIO_DEN_NONE,G_CS_SERVICE_DROP_RATIO_NUM_NONE,G_PS_CALL_DROP_RATIO_DEN_NONE,G_PS_CALL_DROP_RATIO_NUM_NONE,PS_CALL_DROP_RATIO2_DEN_NONE,PS_CALL_DROP_RATIO2_NUM_NONE,NUMERO_DE_USUARIOS_PH_OPTRF_NONE,HSDPA_THROUGHPUT_DEN_NONE,HSDPA_THROUGHPUT_NUM_NONE
30011,198.0,101.0,27.0,27.0,65.0,63.0,124.724,6709348.0,2.617,5.0,2.617,74.305,5571000.0,0.0,7.0,3.394,0.0,0.2,0.0,27.0,0.0,413.0,65.0,0.0,0.0,648.0,1350.0,6435.0,3474.0,26.0,0.0,78.0,55.0,164.0,55.0,7.601,50140.0,255190136.0
30012,378.0,195.0,32.0,31.0,125.0,124.0,99.97,14864168.0,2.992,7.0,2.992,57.905,10359920.0,0.0,12.0,5.214,0.0,0.15,0.0,32.0,0.0,571.0,125.0,0.0,0.0,917.0,1568.0,32000.0,15632.0,32.0,3.0,143.0,98.0,277.0,98.0,10.861999999999998,99036.0,180845736.0
30013,601.0,305.0,45.0,45.0,150.0,150.0,195.751,31902798.0,5.667,10.0,5.767,87.975,25787640.0,0.0,15.0,8.683,0.0,0.317,0.0,45.0,0.0,1081.0,150.0,0.0,0.0,1935.0,3960.0,58800.0,28350.0,40.0,1.0,185.0,115.0,369.0,115.0,19.167,127349.0,536307959.0
30014,160.0,82.0,8.0,7.0,73.0,73.0,80.88,7961998.0,2.817,6.0,2.822,47.999,3744560.0,0.0,9.0,3.531,0.0,0.1,0.0,8.0,0.0,214.0,73.0,0.0,0.0,72.0,128.0,8103.0,3796.0,7.0,0.0,73.0,52.0,179.0,51.0,7.683000000000001,38119.0,110139168.0
30015,362.0,171.0,13.0,13.0,151.0,147.0,118.517,17646739.0,2.744,7.0,2.753,62.927,9256520.0,0.0,13.0,4.697,0.0,0.083,0.0,13.0,0.0,399.0,151.0,0.0,0.0,143.0,247.0,41072.0,22991.0,12.0,2.0,154.0,114.0,321.0,114.0,9.776,50717.0,114075631.0
30016,695.0,351.0,29.0,27.0,335.0,331.0,148.866,34160247.0,4.889,10.0,5.133,105.219,27521280.0,0.0,15.0,7.569,0.0,0.167,0.0,29.0,0.0,835.0,335.0,0.0,0.0,802.0,1450.0,179225.0,90517.0,27.0,4.0,346.0,190.0,555.0,190.0,18.569,170933.0,368458228.0
30017,227.0,109.0,4.0,4.0,89.0,89.0,142.018,8510794.0,2.414,6.0,2.414,42.808,2936120.0,0.0,7.0,3.228,0.0,0.05,0.0,4.0,0.0,287.0,89.0,0.0,0.0,24.0,32.0,16109.0,8544.0,4.0,0.0,92.0,65.0,216.0,65.0,7.064,25746.0,78176528.0
30018,313.0,150.0,5.0,3.0,155.0,155.0,289.519,42350879.0,2.817,8.0,2.819,64.092,10600040.0,0.0,10.0,4.283,0.0,0.133,0.0,5.0,0.0,368.0,155.0,0.0,0.0,17.0,20.0,40765.0,21235.0,4.0,0.0,170.0,116.0,301.0,117.0,9.292,64676.0,260903256.0
30019,626.0,306.0,22.0,17.0,318.0,317.0,282.36,61591641.0,4.717,10.0,4.789,71.8,17964400.0,0.0,14.0,7.022,0.0,0.183,0.0,22.0,0.0,751.0,318.0,0.0,0.0,300.0,572.0,157728.0,81014.0,17.0,0.0,339.0,173.0,520.0,174.0,15.45,229641.0,1202394539.0
30021,212.0,209.0,13.0,13.0,46.0,42.0,1325.704,80228274.0,2.181,5.0,2.189,38.982,7998060.0,0.0,6.0,2.183,0.0,0.683,0.0,13.0,0.0,419.0,46.0,0.0,0.0,0.0,117.0,3910.0,382.0,11.0,0.0,33.0,5.0,234.0,7.0,5.936,,
30022,38.0,36.0,2.0,2.0,15.0,15.0,1061.27,65338420.0,0.975,4.0,0.975,51.351,6078000.0,0.0,4.0,1.164,0.0,0.083,0.0,2.0,0.0,86.0,15.0,0.0,0.0,0.0,10.0,255.0,30.0,4.0,0.0,10.0,2.0,161.0,2.0,2.5869999999999997,,
30023,65.0,63.0,8.0,8.0,22.0,22.0,1244.975,67469852.0,1.419,4.0,1.425,57.638,10926720.0,0.0,6.0,1.658,0.0,0.067,0.0,8.0,0.0,129.0,22.0,0.0,0.0,0.0,80.0,418.0,22.0,9.0,0.0,14.0,4.0,210.0,1.0,3.8890000000000002,,
30024,121.0,119.0,8.0,8.0,26.0,25.0,952.009,31595985.0,1.575,6.0,1.611,34.471,3982740.0,0.0,6.0,1.589,0.0,0.217,0.0,8.0,0.0,241.0,26.0,0.0,0.0,8.0,72.0,1664.0,89.0,8.0,0.0,27.0,1.0,279.0,1.0,4.439,,
30025,46.0,44.0,5.0,5.0,15.0,15.0,1748.199,206698363.0,2.397,6.0,2.397,55.583,17994960.0,0.0,7.0,2.778,0.0,0.183,0.0,5.0,0.0,89.0,15.0,0.0,0.0,0.0,15.0,255.0,0.0,5.0,0.0,13.0,2.0,197.0,4.0,5.775,,
30026,28.0,28.0,4.0,4.0,9.0,9.0,1225.082,26432676.0,1.092,5.0,1.114,58.056,7558920.0,0.0,8.0,1.672,0.0,0.183,0.0,4.0,0.0,70.0,9.0,0.0,0.0,0.0,12.0,117.0,0.0,6.0,0.0,15.0,6.0,211.0,1.0,3.675,,
30027,64.0,59.0,7.0,7.0,18.0,18.0,946.063,32520915.0,1.253,4.0,1.253,36.047,3631760.0,0.0,4.0,1.269,0.0,0.033,0.0,7.0,0.0,109.0,18.0,0.0,0.0,0.0,42.0,666.0,0.0,6.0,0.0,25.0,3.0,301.0,2.0,3.5389999999999997,,
30028,51.0,51.0,2.0,2.0,9.0,9.0,2969.183,56058177.0,0.533,3.0,0.533,95.785,4772500.0,0.0,4.0,0.669,0.0,0.417,0.0,2.0,0.0,95.0,9.0,0.0,0.0,0.0,8.0,216.0,0.0,2.0,0.0,25.0,3.0,146.0,2.0,1.863,,
30029,53.0,53.0,3.0,3.0,12.0,12.0,1869.064,19449945.0,0.5,4.0,0.5,71.644,3755940.0,0.0,5.0,0.8,0.0,0.083,0.0,3.0,0.0,106.0,12.0,0.0,0.0,0.0,3.0,408.0,0.0,4.0,0.0,15.0,3.0,207.0,2.0,2.225,,
30031,391.0,386.0,38.0,38.0,245.0,245.0,1533.468,247450009.0,4.342,10.0,4.522,81.433,32767640.0,0.0,12.0,4.944,0.0,0.867,0.0,38.0,0.0,983.0,245.0,0.0,0.0,0.0,1102.0,63700.0,245.0,37.0,0.0,232.0,10.0,1188.0,10.0,16.167,621749.0,2370709214.0
30032,226.0,219.0,24.0,24.0,117.0,117.0,1620.302,317787729.0,4.086,10.0,4.1,70.431,36362000.0,0.0,11.0,5.006,0.0,0.417,0.0,24.0,0.0,622.0,117.0,0.0,0.0,0.0,552.0,16614.0,117.0,25.0,0.0,82.0,5.0,861.0,4.0,13.686,768979.0,2704951909.0
