CELLID,NODEBID,COD RF,NODEBNAME,RNC,Estado,Región RF,Region Comercial,Latitud,Longitud
30011,3001,2091,Cantv Los Cortijos,LUR,Miranda,Gran Caracas,Gran Caracas,10.484467,-66.825586
30012,3001,2091,Cantv Los Cortijos,LUR,Miranda,Gran Caracas,Gran Caracas,10.484467,-66.825586
30013,3001,2091,Cantv Los Cortijos,LUR,Miranda,Gran Caracas,Gran Caracas,10.484467,-66.825586
30014,3001,2091,Cantv Los Cortijos,LUR,Miranda,Gran Caracas,Gran Caracas,10.484467,-66.825586
30015,3001,2091,Cantv Los Cortijos,LUR,Miranda,Gran Caracas,Gran Caracas,10.484467,-66.825586
30016,3001,2091,Cantv Los Cortijos,LUR,Miranda,Gran Caracas,Gran Caracas,10.484467,-66.825586
30017,3001,2091,Cantv Los Cortijos,LUR,Miranda,Gran Caracas,Gran Caracas,10.484467,-66.825586
30018,3001,2091,Cantv Los Cortijos,LUR,Miranda,Gran Caracas,Gran Caracas,10.484467,-66.825586
30019,3001,2091,Cantv Los Cortijos,LUR,Miranda,Gran Caracas,Gran Caracas,10.484467,-66.825586
30021,3002,4212,El Yaque,PLM,Nueva Esparta,Oriente,Oriente,10.898186,-63.96133
30022,3002,4212,El Yaque,PLM,Nueva Esparta,Oriente,Oriente,10.898186,-63.96133
30023,3002,4212,El Yaque,PLM,Nueva Esparta,Oriente,Oriente,10.898186,-63.96133
30024,3002,4212,El Yaque,PLM,Nueva Esparta,Oriente,Oriente,10.898186,-63.96133
30025,3002,4212,El Yaque,PLM,Nueva Esparta,Oriente,Oriente,10.898186,-63.96133
30026,3002,4212,El Yaque,PLM,Nueva Esparta,Oriente,Oriente,10.898186,-63.96133
30027,3002,4212,El Yaque,PLM,Nueva Esparta,Oriente,Oriente,10.898186,-63.96133
30028,3002,4212,El Yaque,PLM,Nueva Esparta,Oriente,Oriente,10.898186,-63.96133
30029,3002,4212,El Yaque,PLM,Nueva Esparta,Oriente,Oriente,10.898186,-63.96133
30031,3003,2197,El Conde,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.496997,-66.899586
30032,3003,2197,El Conde,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.496997,-66.899586
30033,3003,2197,El Conde,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.496997,-66.899586
30034,3003,2197,El Conde,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.496997,-66.899586
