Result Time,Granularity Period,Object Name,Reliability,"67183986","67183990","67183993","67183994","67183995","67183996","67183997","67183998","67183999","67184000","67184001","67184002","67184003","67184004","67184005","67184006","67184007","67184008","67184009","67184010","67184011","67184012","67184014","67184015","67184016","67184017","67184018","67184019","67184020","67184021","67184022","67184023","67184024","67184025","67184026","67184027","67184028","67184029","67184030","67184031","67184032","67189903","67189905","67192689","67192690","67202812","67202816","67202819","67202820","67202821","67202822","67202823","67202824","67202825","67202826","67202827","67202828","67202829","67202830","67202831","67202832","67202833","67202834","67202835","67202836","67202837","67202838","67202840","67202841","67202842","67202843","67202844","67202845","67202846","67202847","67202848","67202849","67202850","67202851","67202852","67202853","67202854","67202855","67202856","67202857","67202858","67202859","67202860","67203449","67203450","67203451","67203452","67203453","67203454","67203455","67203456","67203457","67203458","67203459","67203460","67204482","67204483","73393908","73393910"
,Minutes,,,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,None,None,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit,kbit/s,kbit/s,bit,bit
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427I, CellID=44279",Reliable,0,0,0,0,0,0,0,0,0,0,6922880,58560,31040,512960,81872960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2141760,27175680,1338880,2179200,0,0,0,8663360,0,0,0,6477272,9178112,2.267,0,,,,,,,,,,,4.534,0.61,0.837,34.801,18.246,,,,,,,,,,,,,,,,3.631,8.096,17.947,19.082,,,,21.927,,,,1.635,2.253,15793.492,22304.505,0,0,29328.438,6767.188,2128.125,500.938,0,78028.75,8460.313,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427H, CellID=44278",Reliable,0,0,0,0,0,0,0,0,0,0,2507200,0,60480,470080,12079360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108160,3699200,442560,0,0,0,0,0,0,0,0,2256592,2905096,0.483,0,,,,,,,,,,,5.154,,17.788,47.292,11.252,,,,,,,,,,,,,,,,3.637,7.906,20.68,,,,,,,,,1.85,2.18,3221.75,4500.534,0,0,4610.313,2349.063,0,459.063,0,10745.938,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427D, CellID=44274",Reliable,0,0,0,0,0,0,0,0,0,0,5012480,0,85120,2560,67450880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664000,18988800,2267520,253760,0,0,0,0,0,0,0,4988016,8440208,1.133,0,,,,,,,,,,,5.919,,23.257,12.8,23.487,,,,,,,,,,,,,,,,3.572,8.257,18.703,41.944,,,,,,,,1.71,2.267,8189.177,10627.84,0,0,22083.75,4878.125,247.813,2.5,0,64687.188,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427C, CellID=44273",Reliable,0,0,0,0,0,0,0,0,0,0,5952320,26240,60800,94720,73997120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2298560,30774080,1985600,5448320,0,0,0,435200,0,0,0,5261728,8349496,1.833,0,,,,,,,,,,,4.98,4.524,11.603,23.68,21.89,,,,,,,,,,,,,,,,3.586,8.343,16.522,12.292,,,,16.361,,,,1.595,2.301,13002.516,20995.856,0,0,33588.125,5749.688,5320.625,50,0,70910,425,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427B, CellID=44272",Reliable,0,0,0,0,0,0,0,0,0,0,820480,0,0,268800,9665280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382400,2557760,571200,0,0,0,0,0,0,0,0,1465456,1824632,0.183,0,,,,,,,,,,,4.259,,,30,9.46,,,,,,,,,,,,,,,,3.738,7.656,20.32,,,,,,,,,1.784,2.122,1146.648,1351.393,0,0,3173.75,778.125,0,78.75,0,8758.75,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427A, CellID=44271",Reliable,0,0,0,0,0,0,0,0,0,0,6270400,67200,1970240,4875840,61803520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2378240,63869120,5960960,0,0,0,0,0,0,0,0,5256432,9425536,2.15,0,,,,,,,,,,,5.138,8.842,15.107,30.555,22.528,,,,,,,,,,,,,,,,3.603,9.991,18.255,,,,,,,,,1.594,2.39,16689.249,22117.936,0,0,70115.625,8077.5,0,4761.563,0,59013.125,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427G, CellID=44277",Reliable,0,0,0,0,0,0,0,0,0,0,6574400,0,177280,1331200,54073280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430400,16704320,2501760,0,0,0,0,0,0,0,0,5480608,9348040,1.117,0,,,,,,,,,,,5.759,,14.115,35.31,18.702,,,,,,,,,,,,,,,,3.549,8.107,19.499,,,,,,,,,1.672,2.326,8359.208,10041.246,0,0,20438.75,6483.75,0,1300,0,50087.5,0,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427F, CellID=44276",Reliable,0,0,0,0,0,0,0,0,0,0,6823040,9280,182720,794240,68950720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2281920,22328640,2603520,882240,0,0,0,685120,0,0,0,5873464,9267584,2.167,0,,,,,,,,,,,4.892,1.611,20.67,17.736,17.164,,,,,,,,,,,,,,,,3.588,7.8,18.904,13.032,,,,13.594,,,,1.637,2.296,13489.8,14107.383,0,0,25341.25,6683.438,861.563,775.625,0,65299.688,669.063,0,,,0,0
2023-02-10 13:00,30,"RNCH-MA3-SFA/BSC6900UCell:Label=CT4427E, CellID=44275",Reliable,0,0,0,0,0,0,0,0,0,0,976640,0,0,62080,3522560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365120,1125440,1691840,0,0,0,0,0,0,0,0,1863496,2212968,0.117,0,,,,,,,,,,,4.391,,,35.273,8.733,,,,,,,,,,,,,,,,3.571,7.591,20.751,,,,,,,,,1.963,2.05,1037.975,1033.24,0,0,2710.313,893.125,0,60.625,0,1935.313,0,0,,,0,0
