NODEBID,COD RF,NODEBNAME,RNC,Estado,Región RF,Region Comercial,Latitud,Longitud
3001,2091,Cantv Los Cortijos,LUR,Miranda,Gran Caracas,Gran Caracas,10.484467,-66.825586
3002,4212,El Yaque,PLM,Nueva Esparta,Oriente,Oriente,10.898186,-63.96133
3003,2197,El Conde,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.496997,-66.899586
3004,3047,VALERA,VRA,Trujillo,Occidente,Occidente,9.328686,-70.589997
3005,4086,Mariguitar,LCH,Sucre,Oriente,Oriente,10.449491,-63.899608
3009,4059,Cañafistola,PTO,Bolívar,Oriente,Guayana,8.124267,-63.507386
3010,3230,Barrancas BRN,ACA,Barinas,Occidente,Andes,8.770547,-70.116858
3012,2235,Lidice,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.514207,-66.930986
3014,4114,El Tigre Norte,LCH,Anzoátegui,Oriente,Oriente,8.905408,-64.269942
3015,2260,Juan Pablo II,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.469827,-66.968286
3016,4140,Barrio Sucre,LCH,Anzoátegui,Oriente,Oriente,10.147597,-64.676086
3017,4222,Vial Mochima - Cumana SUC,LCH,Sucre,Oriente,Oriente,10.375964,-64.287164
3018,3061,BUENA VISTA TRUJILLO,VRA,Trujillo,Occidente,Occidente,9.287241,-70.869969
3019,3046,Ciudad Bolivia,ACA,Barinas,Occidente,Andes,8.356797,-70.575775
3020,4073,Pampatar,PLM,Nueva Esparta,Oriente,Oriente,10.997897,-63.788186
3021,3200,SAN JUAN DE COLON,SCR,Táchira,Occidente,Andes,8.016241,-72.249969
3023,3024,La Cardenera,ACA,Barinas,Occidente,Andes,8.614658,-70.191469
3026,1056,Achaguas,SFA,Apure,Central,Centro,7.780408,-68.22383
3027,4164,San Rafael Tucupita,PTO,Delta Amacuro,Oriente,Guayana,9.070686,-62.064942
3028,4109,Cumanagoto,LCH,Sucre,Oriente,Oriente,10.410697,-64.218586
3029,2368,Galipan Move,CNT,Vargas,Gran Caracas,Gran Caracas,10.551144,-66.878714
3030,2151,El Bosque,LMS,Distrito Capital,Gran Caracas,Gran Caracas,10.496197,-66.871286
3031,1081,San Felipe Centro,BTO,Yaracuy,Central,Centro Occidente,10.339686,-68.736997
3035,1048,Chaguaramas GRC,MCY,Guarico,Central,Centro,9.339297,-66.272997
3037,1104,La Barraca,MCY,Aragua,Central,Centro,10.246769,-67.586942
3038,2354,Av Moran,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.497051,-66.942933
3040,1241,San Juan de Payara Apure,SFA,Apure,Central,Centro,7.64618,-67.609
3041,4197,Jusepin MNG,PTO,Monagas,Oriente,Oriente,9.757155,-63.464289
3042,4149,Pariaguan,LCH,Anzoátegui,Oriente,Oriente,8.833887,-64.729586
3044,3075,MERIDA,SCR,Mérida,Occidente,Andes,8.597186,-71.142719
3046,4083,La Asuncion,PLM,Nueva Esparta,Oriente,Oriente,11.030936,-63.858025
3047,1243,CC Coche Aragua,MCY,Aragua,Central,Centro,8.80928,-65.3259
3049,1154,Bararida,BTO,Lara,Central,Centro Occidente,10.080197,-69.292486
3051,1479,El Yagual SFA,SFA,Apure,Central,Centro,7.476603,-68.421969
3052,3225,Veguitas BRN,ACA,Barinas,Occidente,Andes,8.826241,-69.995497
3053,4121,Arapo,LCH,Sucre,Oriente,Oriente,10.245797,-64.514386
3056,2105,La Boyera,LMS,Miranda,Gran Caracas,Gran Caracas,10.429627,-66.837786
3057,3366,STA ELENA DE ARENALES MRD,SCR,Mérida,Occidente,Andes,8.822853,-71.463358
3058,1058,Tamaca,BTO,Lara,Central,Centro Occidente,10.198825,-69.328192
3059,2137,Las Mercedes,LMS,Miranda,Gran Caracas,Gran Caracas,10.481217,-66.859486
3060,4070,San Antonio de Capayacuar,PTO,Monagas,Oriente,Oriente,10.111325,-63.741303
3061,2081,Micro Marques Norte,LUR,Miranda,Gran Caracas,Gran Caracas,10.493947,-66.815286
3062,3167,TOVAR,SCR,Mérida,Occidente,Andes,8.314047,-71.80008
3063,1028,Las Tucuraguas (San Rafael de Onoto),ACA,Portuguesa,Central,Centro Occidente,9.719019,-69.050608
3064,4126,Mene Grande PLC,LCH,Anzoátegui,Oriente,Oriente,10.240325,-64.614525
3066,4043,Paraiso,PTO,Monagas,Oriente,Oriente,9.72993,-63.189297
3068,4113,El Tigre Centro,LCH,Anzoátegui,Oriente,Oriente,8.883907,-64.258886
3070,4038,Morro de Puerto Santo,LCH,Sucre,Oriente,Oriente,10.724997,-63.157386
3072,2135,San Roman,LMS,Miranda,Gran Caracas,Gran Caracas,10.473397,-66.857086
3074,2249,la Vega,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.474197,-66.948386
3075,2134,Las Minas,LMS,Miranda,Gran Caracas,Gran Caracas,10.450337,-66.856586
3076,1219,Altagracia de Orituco,MCY,Guarico,Central,Centro,8.91144,-67.4365
3078,3209,SAN ANTONIO DEL TACHIRA,SCR,Táchira,Occidente,Andes,7.81263,-72.437719
3081,3355,MONTE CARMELO,VRA,Trujillo,Occidente,Occidente,9.189575,-70.839664
3083,2104,Santa Eduvigis,LMS,Miranda,Gran Caracas,Gran Caracas,10.502677,-66.836786
3084,4199,Santa Maria NVA,PLM,Nueva Esparta,Oriente,Oriente,10.950686,-64.097442
3085,1199,Puricaure LAR,BTO,Lara,Central,Centro Occidente,10.085158,-70.455858
